Name,Type,Address,Longitude,Latitude
三板溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.797678,29.667796
国博中心(地铁站),交通设施服务;地铁站;地铁站,国博线,106.545427,29.716617
石马河立交(地铁站),交通设施服务;地铁站;地铁站,4号线,106.470002,29.585039
滩子口(地铁站),交通设施服务;地铁站;地铁站,18号线,106.527366,29.499525
洪湖东路(地铁站),交通设施服务;地铁站;地铁站,环线,106.512520,29.607648
黄茅坪(地铁站),交通设施服务;地铁站;地铁站,国博线,106.531485,29.676213
丛岩寺(地铁站),交通设施服务;地铁站;地铁站,9号线,106.585174,29.744483
龙驿大道(地铁站),交通设施服务;地铁站;地铁站,4号线,106.794023,29.689518
湖霞街(地铁站),交通设施服务;地铁站;地铁站,5号线,106.538581,29.659787
龙凤溪(地铁站),交通设施服务;地铁站;地铁站,6号线,106.403911,29.789492
盘溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.483346,29.575606
天梨路(地铁站),交通设施服务;地铁站;地铁站,9号线,106.450777,29.549710
天堂堡(地铁站),交通设施服务;地铁站;地铁站,2号线,106.472317,29.466830
中央公园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.583573,29.723674
高堡湖(地铁站),交通设施服务;地铁站;地铁站,空港线,106.642982,29.751896
仁济(地铁站),交通设施服务;地铁站;地铁站,环线,106.599596,29.564962
兰桂大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.596438,29.714271
双凤桥(地铁站),交通设施服务;地铁站;地铁站,空港线,106.632667,29.728923
红岩坪(地铁站),交通设施服务;地铁站;地铁站,国博线,106.549364,29.833087
半山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.450546,29.473233
